L_STSvp	53.701708	-4.880438	-8.035705
L_TGd	32.465407	41.671820	-22.375412
L_TE1a	53.285341	23.983636	-15.146596
L_TE1p	56.346309	-17.787822	-19.320804
L_TE2a	49.116222	14.427536	-24.532230
L_TF	35.337299	8.623239	-26.033580
L_TE2p	47.179935	-9.590910	-26.717244
L_PHT	48.861922	-28.493181	-14.512926
L_PH	44.779219	-34.237513	-25.148703
L_TPOJ1	46.636250	-19.706790	-3.298183
L_TPOJ2	48.730988	-37.445207	-6.652573
L_TPOJ3	41.061996	-45.733262	1.904476
L_DVT	19.104065	-54.766179	12.797114
L_PGp	40.333074	-59.143265	5.465439
L_IP2	39.858058	-31.036032	23.630440
L_IP1	29.443596	-47.867234	20.017612
L_IP0	31.588675	-58.952992	8.520340
L_PFop	54.975870	-5.026174	21.036166
L_PF	55.068631	-21.148133	16.966325
L_PFm	46.135517	-38.856942	21.142704
L_PGi	46.400727	-41.999258	7.980986
L_PGs	39.216753	-55.243421	22.169579
L_V6A	22.639723	-69.481642	14.021621
L_VMV1	17.464848	-33.259539	-19.701744
L_VMV3	23.078225	-28.396101	-23.427358
L_PHA2	23.715340	-9.869803	-19.848947
L_V4t	43.484485	-52.399047	-18.746929
L_FST	45.352444	-40.215593	-15.953538
L_V3CD	34.950688	-61.913882	-6.861851
L_LO3	44.504986	-53.410080	-7.319357
L_VMV2	27.383996	-26.529820	-16.709930
L_31pd	6.816633	-41.343744	18.697344
L_31a	5.691587	-33.839637	24.478584
L_VVC	27.220777	-16.603228	-25.502656
L_25	0.845416	39.932845	-4.471559
L_s32	1.671252	54.599586	0.295435
L_pOFC	5.890852	35.056313	-11.513227
L_PoI1	32.593507	20.534103	-1.435205
L_Ig	31.789388	7.174668	9.909503
L_FOP5	33.797167	41.717678	7.752308
L_p10p	15.938179	72.815343	23.494414
L_p47r	33.774477	59.443356	13.603264
L_TGv	33.777379	32.277573	-32.203599
L_MBelt	34.051968	4.506013	-4.945660
L_LBelt	47.197722	-1.835996	3.038849
L_A4	55.196915	-1.012083	1.165692
L_STSva	47.305890	19.055729	-13.497356
L_TE1m	58.925257	2.208597	-14.599537
L_PI	35.546151	24.873036	-10.239381
L_a32pr	1.656269	33.621228	31.310797
L_p24	1.466997	41.299799	22.683476
R_V1	-9.356218	-58.775253	-18.753350
R_MST	-40.127075	-47.049151	-19.151531
R_V6	-12.253529	-58.531787	5.453886
R_V2	-6.112872	-59.716136	-16.712762
